[15:21:12] [ServerMain/INFO]: Building unoptimized datafixer
[15:21:15] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:21:20] [ServerMain/INFO]: Loaded 7 recipes
[15:21:20] [ServerMain/INFO]: Loaded 1179 advancements
[15:21:21] [Server thread/INFO]: Starting minecraft server version 1.19.3
[15:21:21] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[15:21:21] [Server thread/INFO]: Loading properties
[15:21:21] [Server thread/INFO]: Default game type: SURVIVAL
[15:21:21] [Server thread/INFO]: Generating keypair
[15:21:21] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:21:22] [Server thread/INFO]: Using epoll channel type
[15:21:22] [Server thread/INFO]: Preparing level "world"
[15:34:15] [Server thread/INFO]: /advancement (grant|revoke)
[15:34:15] [Server thread/INFO]: /attribute <target> <attribute> (get|base|modifier)
[15:34:15] [Server thread/INFO]: /execute (run|if|unless|as|at|store|positioned|rotated|facing|align|anchored|in)
[15:34:15] [Server thread/INFO]: /bossbar (add|remove|list|set|get)
[15:34:15] [Server thread/INFO]: /clear [<targets>]
[15:34:15] [Server thread/INFO]: /clone <begin> <end> <destination> [replace|masked|filtered]
[15:34:15] [Server thread/INFO]: /data (merge|get|remove|modify)
[15:34:15] [Server thread/INFO]: /datapack (enable|disable|list)
[15:34:15] [Server thread/INFO]: /debug (start|stop|function)
[15:34:15] [Server thread/INFO]: /defaultgamemode <gamemode>
[15:34:15] [Server thread/INFO]: /difficulty [peaceful|easy|normal|hard]
[15:34:15] [Server thread/INFO]: /effect (clear|give)
[15:34:15] [Server thread/INFO]: /me <action>
[15:34:15] [Server thread/INFO]: /enchant <targets> <enchantment> [<level>]
[15:34:15] [Server thread/INFO]: /experience (add|set|query)
[15:34:15] [Server thread/INFO]: /xp -> experience
[15:34:15] [Server thread/INFO]: /fill <from> <to> <block> [replace|keep|outline|hollow|destroy]
[15:34:15] [Server thread/INFO]: /fillbiome <from> <to> <biome> [replace]
[15:34:15] [Server thread/INFO]: /forceload (add|remove|query)
[15:34:15] [Server thread/INFO]: /function <name>
[15:34:15] [Server thread/INFO]: /gamemode <gamemode> [<target>]
[15:34:15] [Server thread/INFO]: /gamerule (announceAdvancements|blockExplosionDropDecay|commandBlockOutput|disableElytraMovementCheck|disableRaids|doDaylightCycle|doEntityDrops|doFireTick|doImmediateRespawn|doInsomnia|doLimitedCrafting|doMobLoot|doMobSpawning|doPatrolSpawning|doTileDrops|doTraderSpawning|doWardenSpawning|doWeatherCycle|drowningDamage|fallDamage|fireDamage|forgiveDeadPlayers|freezeDamage|globalSoundEvents|keepInventory|lavaSourceConversion|logAdminCommands|maxCommandChainLength|maxEntityCramming|mobExplosionDropDecay|mobGriefing|naturalRegeneration|playersSleepingPercentage|randomTickSpeed|reducedDebugInfo|sendCommandFeedback|showDeathMessages|snowAccumulationHeight|spawnRadius|spectatorsGenerateChunks|tntExplosionDropDecay|universalAnger|waterSourceConversion)
[15:34:15] [Server thread/INFO]: /give <targets> <item> [<count>]
[15:34:15] [Server thread/INFO]: /help [<command>]
[15:34:15] [Server thread/INFO]: /item (replace|modify)
[15:34:15] [Server thread/INFO]: /kick <targets> [<reason>]
[15:34:15] [Server thread/INFO]: /kill [<targets>]
[15:34:15] [Server thread/INFO]: /list [uuids]
[15:34:15] [Server thread/INFO]: /locate (structure|biome|poi)
[15:34:15] [Server thread/INFO]: /loot (replace|insert|give|spawn)
[15:34:15] [Server thread/INFO]: /msg <targets> <message>
[15:34:15] [Server thread/INFO]: /tell -> msg
[15:34:15] [Server thread/INFO]: /w -> msg
[15:34:15] [Server thread/INFO]: /particle <name> [<pos>]
[15:34:15] [Server thread/INFO]: /place (feature|jigsaw|structure|template)
[15:34:15] [Server thread/INFO]: /playsound <sound> (master|music|record|weather|block|hostile|neutral|player|ambient|voice)
[15:34:15] [Server thread/INFO]: /reload
[15:34:15] [Server thread/INFO]: /recipe (give|take)
[15:34:15] [Server thread/INFO]: /say <message>
[15:34:15] [Server thread/INFO]: /schedule (function|clear)
[15:34:15] [Server thread/INFO]: /scoreboard (objectives|players)
[15:34:15] [Server thread/INFO]: /seed
[15:34:15] [Server thread/INFO]: /setblock <pos> <block> [destroy|keep|replace]
[15:34:15] [Server thread/INFO]: /spawnpoint [<targets>]
[15:34:15] [Server thread/INFO]: /setworldspawn [<pos>]
[15:34:15] [Server thread/INFO]: /spectate [<target>]
[15:34:15] [Server thread/INFO]: /spreadplayers <center> <spreadDistance> <maxRange> (<respectTeams>|under)
[15:34:15] [Server thread/INFO]: /stopsound <targets> [*|master|music|record|weather|block|hostile|neutral|player|ambient|voice]
[15:34:15] [Server thread/INFO]: /summon <entity> [<pos>]
[15:34:15] [Server thread/INFO]: /tag <targets> (add|remove|list)
[15:34:15] [Server thread/INFO]: /team (list|add|remove|empty|join|leave|modify)
[15:34:15] [Server thread/INFO]: /teammsg <message>
[15:34:15] [Server thread/INFO]: /tm -> teammsg
[15:34:15] [Server thread/INFO]: /teleport (<location>|<destination>|<targets>)
[15:34:15] [Server thread/INFO]: /tp -> teleport
[15:34:15] [Server thread/INFO]: /tellraw <targets> <message>
[15:34:15] [Server thread/INFO]: /time (set|add|query)
[15:34:15] [Server thread/INFO]: /title <targets> (clear|reset|title|subtitle|actionbar|times)
[15:34:15] [Server thread/INFO]: /trigger <objective> [add|set]
[15:34:15] [Server thread/INFO]: /weather (clear|rain|thunder)
[15:34:15] [Server thread/INFO]: /worldborder (add|set|center|damage|get|warning)
[15:34:15] [Server thread/INFO]: /jfr (start|stop)
[15:34:15] [Server thread/INFO]: /ban-ip <target> [<reason>]
[15:34:15] [Server thread/INFO]: /banlist [ips|players]
[15:34:15] [Server thread/INFO]: /ban <targets> [<reason>]
[15:34:15] [Server thread/INFO]: /deop <targets>
[15:34:15] [Server thread/INFO]: /op <targets>
[15:34:15] [Server thread/INFO]: /pardon <targets>
[15:34:15] [Server thread/INFO]: /pardon-ip <target>
[15:34:15] [Server thread/INFO]: /perf (start|stop)
[15:34:15] [Server thread/INFO]: /save-all [flush]
[15:34:15] [Server thread/INFO]: /save-off
[15:34:15] [Server thread/INFO]: /save-on
[15:34:15] [Server thread/INFO]: /setidletimeout <minutes>
[15:34:15] [Server thread/INFO]: /stop
[15:34:15] [Server thread/INFO]: /whitelist (on|off|list|add|remove|reload)
[15:34:19] [Server thread/INFO]: Stopping the server
[15:34:19] [Server thread/INFO]: Stopping server
[15:34:19] [Server thread/INFO]: Saving players
[15:34:19] [Server thread/INFO]: Saving worlds
[15:34:22] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[15:34:26] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[15:34:26] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[15:34:26] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[15:34:26] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[15:34:26] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[15:34:26] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
